"Period","x","y","Bearing","Distance_km"
"2010-2015",-86.4820251278199,40.0260095356925,308.13621115201,40.0960192002921
"2010-2015",-86.4817556332347,40.0260095356925,308.159054282751,40.0799548945188
"2010-2015",-86.4814861386494,40.0260095356925,308.18192061768,40.0638973400162
"2010-2015",-86.4812166440642,40.0260095356925,308.204810184873,40.0478465449048
"2010-2015",-86.4852590628427,40.0257400411073,307.834870472477,40.2680293062616
"2010-2015",-86.4849895682575,40.0257400411073,307.857431514847,40.2518760141714
"2010-2015",-86.4847200736723,40.0257400411073,307.880015438742,40.2357293733162
"2010-2015",-86.484450579087,40.0257400411073,307.902622271958,40.2195893917058
"2010-2015",-86.4841810845018,40.0257400411073,307.925252042324,40.2034560773618
"2010-2015",-86.4839115899166,40.0257400411073,307.947904777694,40.187329438313
"2010-2015",-86.4836420953313,40.0257400411073,307.970580505952,40.1712094826006
"2010-2015",-86.4833726007461,40.0257400411073,307.993279255009,40.1550962182716
"2010-2015",-86.4831031061609,40.0257400411073,308.016001052801,40.1389896533863
"2010-2015",-86.4828336115756,40.0257400411073,308.038745927297,40.1228897960118
"2010-2015",-86.4825641169904,40.0257400411073,308.06151390649,40.106796654227
"2010-2015",-86.4822946224051,40.0257400411073,308.084305018402,40.0907102361182
"2010-2015",-86.4820251278199,40.0257400411073,308.107119291081,40.0746305497832
"2010-2015",-86.4817556332347,40.0257400411073,308.129956752606,40.0585576033281
"2010-2015",-86.4814861386494,40.0257400411073,308.152817431082,40.0424914048702
"2010-2015",-86.4812166440642,40.0257400411073,308.175701354639,40.0264319625344
"2010-2015",-85.7271707945743,40.0230450952549,59.1232259772909,46.1153633447034
"2010-2015",-85.726901299989,40.0230450952549,59.1391699097881,46.1334992423839
"2010-2015",-85.7250148378924,40.0230450952549,59.2503630527727,46.2605713701493
"2010-2015",-85.7247453433071,40.0230450952549,59.2661888076723,46.2787417337407
"2010-2015",-85.7293267512562,40.0227756006697,59.0218868536219,45.9520156987056
"2010-2015",-85.7290572566709,40.0227756006697,59.037942149892,45.9701241268392
"2010-2015",-85.7287877620857,40.0227756006697,59.0539824625536,45.988236918079
"2010-2015",-85.7285182675004,40.0227756006697,59.0700078100605,46.0063540672722
"2010-2015",-85.7282487729152,40.0227756006697,59.0860182108422,46.0244755692702
"2010-2015",-85.72797927833,40.0227756006697,59.1020136833023,46.0426014189342
"2010-2015",-85.7277097837447,40.0227756006697,59.1179942458222,46.0607316111312
"2010-2015",-85.7274402891595,40.0227756006697,59.1339599167553,46.0788661407359
"2010-2015",-85.7271707945743,40.0227756006697,59.1499107144314,46.0970050026291
"2010-2015",-85.726901299989,40.0227756006697,59.1658466571543,46.1151481916969
"2010-2015",-85.7266318054038,40.0227756006697,59.1817677632055,46.1332957028348
"2010-2015",-85.7263623108186,40.0227756006697,59.197674050839,46.1514475309452
"2010-2015",-85.7260928162333,40.0227756006697,59.2135655382842,46.1696036709342
"2010-2015",-85.7293267512562,40.0225061060844,59.048650479874,45.9336110479978
"2010-2015",-85.7290572566709,40.0225061060844,59.0646977749714,45.9517268003614
"2010-2015",-85.7287877620857,40.0225061060844,59.0807300855418,45.9698469118503
"2010-2015",-85.7285182675004,40.0225061060844,59.0967474300558,45.9879713773122
"2010-2015",-85.7282487729152,40.0225061060844,59.1127498269595,46.0061001916
"2010-2015",-85.72797927833,40.0225061060844,59.1287372946734,46.0242333495741
"2010-2015",-85.7277097837447,40.0225061060844,59.1447098515953,46.0423708461032
"2010-2015",-85.7274402891595,40.0225061060844,59.1606675160953,46.0605126760621
"2010-2015",-85.7271707945743,40.0225061060844,59.1766103065195,46.078658834332
"2010-2015",-85.726901299989,40.0225061060844,59.1925382411882,46.0968093158001
"2010-2015",-85.7266318054038,40.0225061060844,59.2084513383993,46.1149641153624
"2010-2015",-85.7263623108186,40.0225061060844,59.2243496164231,46.1331232279215
"2010-2015",-85.7260928162333,40.0225061060844,59.2402330935053,46.1512866483846
